Fixed Asset,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
        Intellectual property products,2.6,3.1,3.5,3.6,4.1,4.6,5.2,6.2,7,8.1,9.7,11.1,12.4,13.8,15.2,16.5,17.9,19.4,21,22.8,25.3,28.1,31.8,36,40,43.2,47.2,54.3,63.1,68.8,75.1,82,91.2,104.2,119.9,137.2,151.6,165.7,180.8,196.7,209.8,227.8,242.7,257.7,272.6,289.5,306.3,317.3,338.9,364,392.7,430.6,468.4,508.5,549.4,567.6,575.5,603.8,628.1,673.4,712.6,777.5,825.2,850.9,890.9,939.7,975.9,1039.5,1084.4,1103,1159.5,1228.8,1297.9,1367
      Nonfarm nonmanufacturing,125.4,148.5,161.9,166.4,185.5,200.5,212.3,223.1,229.6,252.5,278.3,297.7,305.2,318.7,325,333.4,343.3,354,372.2,396.4,426.7,461.4,506.5,558.8,615,674.5,733.4,831.9,1020.4,1128.2,1240.6,1377.2,1567.7,1808.9,2077.6,2371.9,2531,2616.6,2794.9,2954.8,3093.5,3269.6,3506.8,3734.9,3958.6,4058,4205.9,4436.2,4696.9,4978.7,5240.4,5559.2,5875.6,6264,6759.6,7130,7395.6,7645.8,8365.1,9187.4,10011.6,10554.4,11239.9,10859.4,11189.3,11761.7,12194.6,12691.8,13349.8,13614.6,14001,14517.7,15248.7,15849.5
        Equipment,23.2,27.5,33.4,35.1,40.2,44.5,47.1,51.4,53.1,58.9,66.9,73.9,77.1,82.1,86.3,89.3,93.9,99.1,105.5,114,127,140.4,156.9,175.9,194.5,210.5,230.4,259,318.1,362.6,401,452.6,520.8,607.3,709.5,795.3,850.1,892,954.6,1014.1,1080.9,1135.9,1214.7,1288.8,1356.5,1387.9,1426.7,1497.3,1591,1700.9,1797,1886.9,1980.9,2123.4,2288.9,2357.4,2369.9,2379.2,2524.4,2645.1,2849.1,2968.7,3093.2,3015.6,3079.3,3223.8,3381,3506,3666.2,3789.9,3903.5,4058.9,4277.9,4442.6
        Structures,98.2,116.4,123.7,126.3,139.9,150.4,159.4,165.4,169.9,186.4,203.6,215.3,219.3,227.1,228.6,233.4,238.1,242.6,253.3,267.5,283,301.9,328.2,358.9,394.2,436.3,473.6,541.5,667.5,727.7,797.6,877.6,993.7,1140.6,1298.8,1496.9,1589.1,1619.5,1718.8,1804.2,1859.3,1961.9,2101.2,2230.3,2358.5,2401.1,2487.8,2620.7,2762.6,2907.4,3047.2,3241.6,3425.3,3603.3,3862.9,4131.6,4354.1,4558.7,5099.4,5756.5,6328,6702.6,7227.2,6903.9,7137.9,7514.6,7744.7,8060.8,8502.7,8592.8,8790.7,9061.2,9464.3,9787.6
        Intellectual property products,4.1,4.6,4.9,5,5.4,5.6,5.8,6.3,6.7,7.2,7.8,8.4,8.8,9.5,10,10.8,11.3,12.3,13.4,14.9,16.7,19.1,21.4,24.1,26.4,27.7,29.5,31.4,34.9,37.9,42,47,53.1,61.1,69.3,79.7,91.8,105,121.4,136.5,153.3,171.8,191,215.8,243.6,269,291.4,318.1,343.2,370.4,396.2,430.7,469.5,537.3,607.8,641,671.6,707.9,741.3,785.8,834.4,883.1,919.5,940,972.1,1023.3,1068.8,1124.9,1180.8,1231.9,1306.7,1397.6,1506.5,1619.3
    By corporate financial and nonfinancial:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Financial,5.6,6.7,7.2,6.7,7.4,8.6,9,9.2,9.2,10.3,11.9,12.7,13.1,13.7,14.3,15.2,16.3,17.3,19.1,21,23.3,25.8,29.7,34,38.2,43.6,49.1,57.1,71.4,80.7,90.7,103.3,120.6,145.3,173.9,203.2,229.8,252.9,285.3,322.1,365.3,406.3,452.7,502.7,547.7,570.3,596.7,631.1,674.7,708.5,744.8,788.5,852.6,924.3,990.2,1032.7,1067.2,1096.1,1192.6,1288.7,1381.6,1454.6,1530.9,1466.4,1458.8,1499.2,1531.5,1577.9,1625.5,1677.3,1734.2,1794.1,1885.9,1959
        Equipment,0.8,1,1.2,1.3,1.5,1.7,1.8,2,2,2.3,2.6,2.8,2.9,3,3.1,3.2,3.4,3.5,3.9,4.6,5.3,6.3,7.6,9.1,10.3,11.7,13.4,16.2,21.6,26.1,30.7,35.6,43,53,64.8,76.7,86.3,95.3,108.4,122.4,141,157.9,179.2,200.1,216.9,223.1,227.6,239.1,255.5,271,284.7,293.2,315.7,343.9,367.2,373.3,382.9,390.5,416.4,433.5,455.8,473,477.3,449.1,447.3,458.3,475.9,496,522.4,549.5,573.6,587.2,607.1,621.8
        Structures,4.8,5.7,6,5.4,5.9,6.9,7.2,7.2,7.2,8,9.3,9.9,10.2,10.7,11.1,11.9,12.8,13.6,15,16.2,17.7,19,21.6,24.1,26.8,30.7,34.3,39.1,47.4,51.4,56.2,63.5,72.9,86.8,102.8,119.3,134.9,147.6,165.2,186.3,209.2,230.8,252.7,278,301.5,313.8,331.5,350.9,375.9,393.5,415.6,449.9,485.5,518.9,550.7,580.9,601.4,619.4,685.3,760.9,828.5,877.1,941.3,898.1,890.5,911.6,915.9,933.8,949.7,966.3,985.9,1020.6,1078.6,1121.9
        Intellectual property products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.3,0.4,0.5,0.6,0.8,1,1.2,1.4,1.8,2.4,3.1,3.8,4.2,4.7,5.5,6.4,7.3,8.6,10,11.7,13.4,15.2,17.6,20.7,24.6,29.3,33.5,37.6,41.1,43.4,44,44.4,45.4,51.3,61.4,72.4,78.4,82.8,86.2,91,94.3,97.2,104.5,112.3,119.2,121,129.3,139.7,148.1,153.4,161.5,174.7,186.2,200.3,215.3
